epoch,step,train_loss
0,749,0.00795616116374731
0,799,0.007862948812544346
0,849,0.0021363955456763506
0,899,0.0017629165668040514
0,949,0.0002744747034739703
0,999,0.0002448039303999394
0,1049,0.00021146806830074638
0,1099,7.250945054693148e-05
0,1149,0.0001789098314475268
0,1199,0.00012459210120141506
0,1249,6.797158857807517e-05
0,1299,1.5176236956904177e-05
0,1349,1.8004284356720746e-05
0,1399,8.802578122413252e-06
0,1449,2.035306351899635e-05
0,1499,3.0324927138281055e-05
0,1549,7.877484313212335e-05
0,1599,8.358244667761028e-05
0,1649,4.5300657802727073e-05
0,1699,6.573858991032466e-05
0,1749,9.118908928940073e-05
0,1799,7.855968578951433e-05
0,1849,5.135680112289265e-05
0,1899,5.591449371422641e-05
0,1949,7.241420826176181e-05
0,1999,0.00011212133540539071
